qid,version,type,query,expected_intents,rewritten_queries,weights,num_rewritten_queries,format_ok,format_error,matched_intents,matched_intent_count,expected_intent_count,intent_coverage,latency_seconds,error,raw_result_json
6,before,模糊体验型,酒店整体值不值得住？有没有明显缺点？,整体体验;推荐;缺点,酒店的整体评价如何，是否值得入住？ ||| 酒店存在哪些明显的缺点或不足之处？,0.6;0.4,2,True,,缺点,1,3,0.3333,1.0195,,"[{""query"": ""酒店的整体评价如何，是否值得入住？"", ""weight"": 0.6}, {""query"": ""酒店存在哪些明显的缺点或不足之处？"", ""weight"": 0.4}]"
6,after,模糊体验型,酒店整体值不值得住？有没有明显缺点？,整体体验;推荐;缺点,广州花园酒店整体入住体验如何？ ||| 广州花园酒店有哪些明显的缺点或不足之处？,0.6;0.4,2,True,,缺点,1,3,0.3333,0.9177,,"[{""query"": ""广州花园酒店整体入住体验如何？"", ""weight"": 0.6}, {""query"": ""广州花园酒店有哪些明显的缺点或不足之处？"", ""weight"": 0.4}]"
7,before,时效+多意图,最近服务质量怎么样？入住退房效率有没有问题？,最近;服务;入住效率;退房效率,近期入住流程的平均等待时间是多少？ ||| 退房手续是否高效，是否存在排队或延迟问题？,0.6;0.4,2,True,,,0,4,0.0,0.7965,,"[{""query"": ""近期入住流程的平均等待时间是多少？"", ""weight"": 0.6}, {""query"": ""退房手续是否高效，是否存在排队或延迟问题？"", ""weight"": 0.4}]"
7,after,时效+多意图,最近服务质量怎么样？入住退房效率有没有问题？,最近;服务;入住效率;退房效率,最近广州花园酒店的服务质量如何？ ||| 广州花园酒店入住和退房效率是否存在排队或延迟问题？,0.6;0.4,2,True,,最近;服务;退房效率,3,4,0.75,0.9174,,"[{""query"": ""最近广州花园酒店的服务质量如何？"", ""weight"": 0.6}, {""query"": ""广州花园酒店入住和退房效率是否存在排队或延迟问题？"", ""weight"": 0.4}]"
8,before,约束+多意图,花园双床房适合家庭住吗？房间空间和卫生怎么样？,花园双床房;家庭;空间;卫生,花园双床房的房间面积有多大，是否适合家庭入住？ ||| 花园双床房的卫生状况如何，清洁标准是什么？,0.6;0.4,2,True,,花园双床房;家庭;空间;卫生,4,4,1.0,0.9107,,"[{""query"": ""花园双床房的房间面积有多大，是否适合家庭入住？"", ""weight"": 0.6}, {""query"": ""花园双床房的卫生状况如何，清洁标准是什么？"", ""weight"": 0.4}]"
8,after,约束+多意图,花园双床房适合家庭住吗？房间空间和卫生怎么样？,花园双床房;家庭;空间;卫生,广州花园酒店花园双床房适合家庭入住吗？ ||| 广州花园酒店花园双床房的房间空间大吗？,0.6;0.4,2,True,,花园双床房;家庭;空间,3,4,0.75,0.9991,,"[{""query"": ""广州花园酒店花园双床房适合家庭入住吗？"", ""weight"": 0.6}, {""query"": ""广州花园酒店花园双床房的房间空间大吗？"", ""weight"": 0.4}]"
9,before,多意图,早餐好不好吃？人多的时候会不会排队？,早餐;味道;排队,酒店早餐的菜品质量如何？是否丰富多样？ ||| 早餐高峰期人多时，取餐流程是否顺畅，是否会排队？,0.6;0.4,2,True,,早餐;排队,2,3,0.6667,1.1105,,"[{""query"": ""酒店早餐的菜品质量如何？是否丰富多样？"", ""weight"": 0.6}, {""query"": ""早餐高峰期人多时，取餐流程是否顺畅，是否会排队？"", ""weight"": 0.4}]"
9,after,多意图,早餐好不好吃？人多的时候会不会排队？,早餐;味道;排队,广州花园酒店早餐好不好吃？ ||| 广州花园酒店早餐高峰期是否需要排队？,0.6;0.4,2,True,,早餐;排队,2,3,0.6667,0.8523,,"[{""query"": ""广州花园酒店早餐好不好吃？"", ""weight"": 0.6}, {""query"": ""广州花园酒店早餐高峰期是否需要排队？"", ""weight"": 0.4}]"
10,before,多意图,酒店位置方便吗？周边吃饭和地铁情况怎么样？,位置;周边餐饮;地铁;交通,酒店距离地铁站有多远？附近有几条地铁线路可直达？ ||| 酒店周边500米内有哪些餐饮选择？是否方便用餐？,0.6;0.4,2,True,,地铁;交通,2,4,0.5,1.1428,,"[{""query"": ""酒店距离地铁站有多远？附近有几条地铁线路可直达？"", ""weight"": 0.6}, {""query"": ""酒店周边500米内有哪些餐饮选择？是否方便用餐？"", ""weight"": 0.4}]"
10,after,多意图,酒店位置方便吗？周边吃饭和地铁情况怎么样？,位置;周边餐饮;地铁;交通,广州花园酒店周边吃饭方便吗？有哪些推荐餐厅？ ||| 广州花园酒店附近地铁站距离多远？出行是否便利？,0.6;0.4,2,True,,地铁;交通,2,4,0.5,0.8534,,"[{""query"": ""广州花园酒店周边吃饭方便吗？有哪些推荐餐厅？"", ""weight"": 0.6}, {""query"": ""广州花园酒店附近地铁站距离多远？出行是否便利？"", ""weight"": 0.4}]"
11,before,多意图,房间设施是不是比较旧？但卫生和服务能不能接受？,房间设施;新旧;卫生;服务,酒店房间的设施新旧程度如何？ ||| 酒店房间的卫生状况是否达标？,0.6;0.4,2,True,,新旧;卫生,2,4,0.5,0.8592,,"[{""query"": ""酒店房间的设施新旧程度如何？"", ""weight"": 0.6}, {""query"": ""酒店房间的卫生状况是否达标？"", ""weight"": 0.4}]"
11,after,多意图,房间设施是不是比较旧？但卫生和服务能不能接受？,房间设施;新旧;卫生;服务,广州花园酒店房间设施是否比较老旧？ ||| 广州花园酒店的卫生状况和服务质量如何？,0.6;0.4,2,True,,房间设施;卫生;服务,3,4,0.75,0.9716,,"[{""query"": ""广州花园酒店房间设施是否比较老旧？"", ""weight"": 0.6}, {""query"": ""广州花园酒店的卫生状况和服务质量如何？"", ""weight"": 0.4}]"
12,before,约束+人群,亲子主题房体验怎么样？孩子会喜欢吗？,亲子主题房;儿童;亲子体验,亲子主题房的设施是否适合儿童使用？ ||| 酒店提供的亲子活动内容是否有趣且适合孩子年龄？,0.6;0.4,2,True,,亲子主题房;儿童,2,3,0.6667,0.8411,,"[{""query"": ""亲子主题房的设施是否适合儿童使用？"", ""weight"": 0.6}, {""query"": ""酒店提供的亲子活动内容是否有趣且适合孩子年龄？"", ""weight"": 0.4}]"
12,after,约束+人群,亲子主题房体验怎么样？孩子会喜欢吗？,亲子主题房;儿童;亲子体验,广州花园酒店亲子主题房的设施和设计是否适合孩子？ ||| 广州花园酒店亲子主题房的入住体验中，孩子是否会感到开心或喜欢？,0.6;0.4,2,True,,亲子主题房,1,3,0.3333,1.9722,,"[{""query"": ""广州花园酒店亲子主题房的设施和设计是否适合孩子？"", ""weight"": 0.6}, {""query"": ""广州花园酒店亲子主题房的入住体验中，孩子是否会感到开心或喜欢？"", ""weight"": 0.4}]"
13,before,多意图,行政酒廊和下午茶值得体验吗？服务好吗？,行政酒廊;下午茶;服务,行政酒廊的环境和服务质量如何？ ||| 酒店提供的下午茶品质和体验感怎样？,0.6;0.4,2,True,,行政酒廊;下午茶;服务,3,3,1.0,0.8997,,"[{""query"": ""行政酒廊的环境和服务质量如何？"", ""weight"": 0.6}, {""query"": ""酒店提供的下午茶品质和体验感怎样？"", ""weight"": 0.4}]"
13,after,多意图,行政酒廊和下午茶值得体验吗？服务好吗？,行政酒廊;下午茶;服务,广州花园酒店行政酒廊体验如何？ ||| 广州花园酒店下午茶值得推荐吗？,0.6;0.4,2,True,,行政酒廊;下午茶,2,3,0.6667,1.0272,,"[{""query"": ""广州花园酒店行政酒廊体验如何？"", ""weight"": 0.6}, {""query"": ""广州花园酒店下午茶值得推荐吗？"", ""weight"": 0.4}]"
14,before,比较型,价格偏高吗？和酒店服务设施比起来值不值？,价格;服务;设施;性价比,该酒店的价格是否高于同等级酒店的平均水平？ ||| 酒店提供的服务和设施是否与当前价格相匹配？,0.6;0.4,2,True,,价格;服务;设施;性价比,4,4,1.0,2.3744,,"[{""query"": ""该酒店的价格是否高于同等级酒店的平均水平？"", ""weight"": 0.6}, {""query"": ""酒店提供的服务和设施是否与当前价格相匹配？"", ""weight"": 0.4}]"
14,after,比较型,价格偏高吗？和酒店服务设施比起来值不值？,价格;服务;设施;性价比,广州花园酒店价格偏高吗？ ||| 广州花园酒店的服务和设施与价格相比是否值回票价？,0.6;0.4,2,True,,价格;服务;设施;性价比,4,4,1.0,0.9651,,"[{""query"": ""广州花园酒店价格偏高吗？"", ""weight"": 0.6}, {""query"": ""广州花园酒店的服务和设施与价格相比是否值回票价？"", ""weight"": 0.4}]"
15,before,约束+人群,临街房间吵不吵？如果睡眠浅适合住吗？,临街房间;噪音;睡眠,临街房间的隔音效果如何？是否适合睡眠浅的客人？ ||| 酒店是否提供安静房型或远离街道的房间选择？,0.8;0.2,2,True,,临街房间;噪音;睡眠,3,3,1.0,1.017,,"[{""query"": ""临街房间的隔音效果如何？是否适合睡眠浅的客人？"", ""weight"": 0.8}, {""query"": ""酒店是否提供安静房型或远离街道的房间选择？"", ""weight"": 0.2}]"
15,after,约束+人群,临街房间吵不吵？如果睡眠浅适合住吗？,临街房间;噪音;睡眠,广州花园酒店临街房间隔音效果如何？ ||| 睡眠浅的客人住广州花园酒店临街房间是否容易被吵醒？,0.6;0.4,2,True,,临街房间;噪音;睡眠,3,3,1.0,0.8817,,"[{""query"": ""广州花园酒店临街房间隔音效果如何？"", ""weight"": 0.6}, {""query"": ""睡眠浅的客人住广州花园酒店临街房间是否容易被吵醒？"", ""weight"": 0.4}]"
16,before,场景型,酒店适合度假吗？花园景观和餐饮体验怎么样？,度假;花园景观;餐饮,该酒店的花园景观是否适合度假休闲？ ||| 酒店的餐饮体验如何，是否有特色菜品或高品质服务？,0.6;0.4,2,True,,度假;花园景观;餐饮,3,3,1.0,1.0032,,"[{""query"": ""该酒店的花园景观是否适合度假休闲？"", ""weight"": 0.6}, {""query"": ""酒店的餐饮体验如何，是否有特色菜品或高品质服务？"", ""weight"": 0.4}]"
16,after,场景型,酒店适合度假吗？花园景观和餐饮体验怎么样？,度假;花园景观;餐饮,广州花园酒店是否适合度假？ ||| 广州花园酒店的花园景观体验如何？,0.6;0.4,2,True,,度假;花园景观,2,3,0.6667,0.944,,"[{""query"": ""广州花园酒店是否适合度假？"", ""weight"": 0.6}, {""query"": ""广州花园酒店的花园景观体验如何？"", ""weight"": 0.4}]"
17,before,约束+多意图,红棉大床套房住起来怎么样？空间、设施和服务都好吗？,红棉大床套房;空间;设施;服务,红棉大床套房的空间布局和实际使用面积如何？ ||| 红棉大床套房的设施配置（如卫浴、空调、智能设备等）是否齐全且现代化？,0.6;0.4,2,True,,红棉大床套房;空间;设施,3,4,0.75,1.1777,,"[{""query"": ""红棉大床套房的空间布局和实际使用面积如何？"", ""weight"": 0.6}, {""query"": ""红棉大床套房的设施配置（如卫浴、空调、智能设备等）是否齐全且现代化？"", ""weight"": 0.4}]"
17,after,约束+多意图,红棉大床套房住起来怎么样？空间、设施和服务都好吗？,红棉大床套房;空间;设施;服务,广州花园酒店红棉大床套房空间体验如何？ ||| 广州花园酒店红棉大床套房设施配置怎么样？ ||| 广州花园酒店红棉大床套房服务体验如何？,0.4;0.4;0.2,3,True,,红棉大床套房;空间;设施;服务,4,4,1.0,1.2041,,"[{""query"": ""广州花园酒店红棉大床套房空间体验如何？"", ""weight"": 0.4}, {""query"": ""广州花园酒店红棉大床套房设施配置怎么样？"", ""weight"": 0.4}, {""query"": ""广州花园酒店红棉大床套房服务体验如何？"", ""weight"": 0.2}]"
18,before,时效+模糊体验,现在入住体验还好吗？老酒店设施会不会影响舒适度？,现在;入住体验;老酒店;设施;舒适度,老酒店的设施是否会影响入住舒适度？ ||| 当前酒店的硬件设施（如床品、卫浴、空调）是否陈旧或影响体验？,0.6;0.4,2,True,,老酒店;设施;舒适度,3,5,0.6,0.8565,,"[{""query"": ""老酒店的设施是否会影响入住舒适度？"", ""weight"": 0.6}, {""query"": ""当前酒店的硬件设施（如床品、卫浴、空调）是否陈旧或影响体验？"", ""weight"": 0.4}]"
18,after,时效+模糊体验,现在入住体验还好吗？老酒店设施会不会影响舒适度？,现在;入住体验;老酒店;设施;舒适度,广州花园酒店老酒店设施对入住舒适度有何影响？ ||| 广州花园酒店近期入住体验如何？,0.6;0.4,2,True,,入住体验;老酒店;设施;舒适度,4,5,0.8,0.873,,"[{""query"": ""广州花园酒店老酒店设施对入住舒适度有何影响？"", ""weight"": 0.6}, {""query"": ""广州花园酒店近期入住体验如何？"", ""weight"": 0.4}]"
19,before,场景型,如果第一次来广州住这里合适吗？交通和周边方便吗？,第一次来广州;交通;周边配套,酒店的交通便利性如何？是否靠近地铁站或公交枢纽？ ||| 酒店周边有哪些生活配套设施，如餐饮、购物、景点等？,0.6;0.4,2,True,,交通,1,3,0.3333,0.8149,,"[{""query"": ""酒店的交通便利性如何？是否靠近地铁站或公交枢纽？"", ""weight"": 0.6}, {""query"": ""酒店周边有哪些生活配套设施，如餐饮、购物、景点等？"", ""weight"": 0.4}]"
19,after,场景型,如果第一次来广州住这里合适吗？交通和周边方便吗？,第一次来广州;交通;周边配套,广州花园酒店对首次来广州的游客是否合适？ ||| 广州花园酒店交通便利吗？周边配套设施如何？,0.6;0.4,2,True,,交通;周边配套,2,3,0.6667,0.8492,,"[{""query"": ""广州花园酒店对首次来广州的游客是否合适？"", ""weight"": 0.6}, {""query"": ""广州花园酒店交通便利吗？周边配套设施如何？"", ""weight"": 0.4}]"
20,before,模糊体验型,这家酒店有哪些优点和槽点？适合推荐给朋友吗？,优点;缺点;推荐,这家酒店的主要优点有哪些？例如设施、服务或性价比方面 ||| 这家酒店存在哪些常见槽点或用户投诉较多的问题？,0.6;0.4,2,True,,优点,1,3,0.3333,0.9531,,"[{""query"": ""这家酒店的主要优点有哪些？例如设施、服务或性价比方面"", ""weight"": 0.6}, {""query"": ""这家酒店存在哪些常见槽点或用户投诉较多的问题？"", ""weight"": 0.4}]"
20,after,模糊体验型,这家酒店有哪些优点和槽点？适合推荐给朋友吗？,优点;缺点;推荐,广州花园酒店的主要优点有哪些？ ||| 广州花园酒店的常见槽点或不足之处是什么？,0.6;0.4,2,True,,优点,1,3,0.3333,0.9789,,"[{""query"": ""广州花园酒店的主要优点有哪些？"", ""weight"": 0.6}, {""query"": ""广州花园酒店的常见槽点或不足之处是什么？"", ""weight"": 0.4}]"
21,before,场景型,停车方便吗？自驾入住会不会有额外麻烦？,停车;自驾;便利性,酒店是否提供免费停车位？ ||| 自驾入住时办理入住和退房是否便捷？,0.6;0.4,2,True,,停车;自驾,2,3,0.6667,0.8994,,"[{""query"": ""酒店是否提供免费停车位？"", ""weight"": 0.6}, {""query"": ""自驾入住时办理入住和退房是否便捷？"", ""weight"": 0.4}]"
21,after,场景型,停车方便吗？自驾入住会不会有额外麻烦？,停车;自驾;便利性,广州花园酒店自驾入住停车是否方便？ ||| 广州花园酒店自驾入住是否有额外麻烦或限制？,0.6;0.4,2,True,,停车;自驾,2,3,0.6667,0.8662,,"[{""query"": ""广州花园酒店自驾入住停车是否方便？"", ""weight"": 0.6}, {""query"": ""广州花园酒店自驾入住是否有额外麻烦或限制？"", ""weight"": 0.4}]"
22,before,人群场景,房间小不小？带两个孩子住会不会局促？,房间空间;亲子;家庭,酒店标准间是否足够宽敞，适合带两个孩子入住？ ||| 酒店是否有家庭房或大床房可供选择，以满足三人居住需求？,0.6;0.4,2,True,,亲子;家庭,2,3,0.6667,0.9365,,"[{""query"": ""酒店标准间是否足够宽敞，适合带两个孩子入住？"", ""weight"": 0.6}, {""query"": ""酒店是否有家庭房或大床房可供选择，以满足三人居住需求？"", ""weight"": 0.4}]"
22,after,人群场景,房间小不小？带两个孩子住会不会局促？,房间空间;亲子;家庭,广州花园酒店带两个孩子入住的房间是否局促？ ||| 广州花园酒店亲子房型的空间大小如何？,0.6;0.4,2,True,,亲子,1,3,0.3333,0.8701,,"[{""query"": ""广州花园酒店带两个孩子入住的房间是否局促？"", ""weight"": 0.6}, {""query"": ""广州花园酒店亲子房型的空间大小如何？"", ""weight"": 0.4}]"
23,before,多意图,会员权益和升房体验怎么样？会不会有落差？,会员权益;升房;体验落差,会员升房的具体规则和条件是什么？ ||| 升房后房间的设施和服务是否有明显提升？,0.6;0.4,2,True,,升房,1,3,0.3333,1.14,,"[{""query"": ""会员升房的具体规则和条件是什么？"", ""weight"": 0.6}, {""query"": ""升房后房间的设施和服务是否有明显提升？"", ""weight"": 0.4}]"
23,after,多意图,会员权益和升房体验怎么样？会不会有落差？,会员权益;升房;体验落差,广州花园酒店会员权益具体包括哪些内容？ ||| 广州花园酒店会员升房体验如何，是否存在实际落差？,0.6;0.4,2,True,,会员权益;升房,2,3,0.6667,1.6422,,"[{""query"": ""广州花园酒店会员权益具体包括哪些内容？"", ""weight"": 0.6}, {""query"": ""广州花园酒店会员升房体验如何，是否存在实际落差？"", ""weight"": 0.4}]"
24,before,多意图,酒店卫生靠谱吗？卫生间和床品有没有被吐槽？,卫生;卫生间;床品;负面反馈,酒店卫生间清洁情况如何？是否有住客投诉卫生问题？ ||| 酒店床品是否定期更换？是否有用户反馈床品不干净或有异味？,0.6;0.4,2,True,,卫生;卫生间;床品,3,4,0.75,1.0072,,"[{""query"": ""酒店卫生间清洁情况如何？是否有住客投诉卫生问题？"", ""weight"": 0.6}, {""query"": ""酒店床品是否定期更换？是否有用户反馈床品不干净或有异味？"", ""weight"": 0.4}]"
24,after,多意图,酒店卫生靠谱吗？卫生间和床品有没有被吐槽？,卫生;卫生间;床品;负面反馈,广州花园酒店卫生间卫生情况如何？有没有被吐槽？ ||| 广州花园酒店床品卫生状况是否靠谱？有无负面评价？,0.6;0.4,2,True,,卫生;卫生间;床品,3,4,0.75,0.9419,,"[{""query"": ""广州花园酒店卫生间卫生情况如何？有没有被吐槽？"", ""weight"": 0.6}, {""query"": ""广州花园酒店床品卫生状况是否靠谱？有无负面评价？"", ""weight"": 0.4}]"
25,before,场景型,这家酒店适合开会或接待客户吗？环境和服务够不够体面？,会议;客户接待;环境;服务,酒店是否配备适合会议的会议室及设备？ ||| 酒店的环境氛围是否庄重得体，适合接待重要客户？,0.6;0.4,2,True,,会议;环境;服务,3,4,0.75,1.0046,,"[{""query"": ""酒店是否配备适合会议的会议室及设备？"", ""weight"": 0.6}, {""query"": ""酒店的环境氛围是否庄重得体，适合接待重要客户？"", ""weight"": 0.4}]"
25,after,场景型,这家酒店适合开会或接待客户吗？环境和服务够不够体面？,会议;客户接待;环境;服务,广州花园酒店适合开会或接待客户吗？ ||| 广州花园酒店的环境和服务是否体面？,0.6;0.4,2,True,,环境;服务,2,4,0.5,0.7923,,"[{""query"": ""广州花园酒店适合开会或接待客户吗？"", ""weight"": 0.6}, {""query"": ""广州花园酒店的环境和服务是否体面？"", ""weight"": 0.4}]"
